Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
1.684043224148192337e+02,1.684043224148192337e+02,5.773863626660394972e-04,5.773863626660394972e-04,1.204378066150712812e+01,1.204378066150712812e+01,4.129295842776798710e-05,4.129295842776798710e-05
1.804481030763263618e+02,1.804481030763263618e+02,6.186793210938074843e-04,6.186793210938074843e-04,1.204576791459484753e+01,1.204576791459484753e+01,4.129981590435738079e-05,4.129981590435738079e-05
1.924938709909212093e+02,1.924938709909212093e+02,6.599791369981648651e-04,6.599791369981648651e-04,1.253760423527188550e+01,1.253760423527188550e+01,1.282603233091318164e-03,1.282603233091318164e-03
2.050314752261930948e+02,2.050314752261930948e+02,1.942582370089483137e-03,1.942582370089483137e-03,1.357617520136528810e+01,1.357617520136528810e+01,3.530270111118633675e-03,3.530270111118633675e-03
2.186076504275583829e+02,2.186076504275583829e+02,5.472852481208117029e-03,5.472852481208117029e-03,1.384766668762702579e+01,1.384766668762702579e+01,3.601727184690832820e-03,3.601727184690832820e-03
2.324553171151854087e+02,2.324553171151854087e+02,9.074579665898949848e-03,9.074579665898949848e-03,1.401431734522600436e+01,1.401431734522600436e+01,3.642379247727626015e-03,3.642379247727626015e-03
2.464696344604114131e+02,2.464696344604114131e+02,1.271695891362657586e-02,1.271695891362657586e-02,1.417141889137772637e+01,1.417141889137772637e+01,3.580336314327635036e-03,3.580336314327635036e-03
2.606410533517891395e+02,2.606410533517891395e+02,1.629729522795421090e-02,1.629729522795421090e-02,1.438454995990446150e+01,1.438454995990446150e+01,3.635441711861916309e-03,3.635441711861916309e-03
2.750256033116936010e+02,2.750256033116936010e+02,1.993273693981612721e-02,1.993273693981612721e-02,1.461042831728258307e+01,1.461042831728258307e+01,3.693966333271202218e-03,3.693966333271202218e-03
2.896360316289761840e+02,2.896360316289761840e+02,2.362670327308732943e-02,2.362670327308732943e-02,1.513560242120047405e+01,1.513560242120047405e+01,4.255753243214081827e-03,4.255753243214081827e-03
3.047716340501766581e+02,3.047716340501766581e+02,2.788245651630141125e-02,2.788245651630141125e-02,1.556421618192115375e+01,1.556421618192115375e+01,4.551989305238667016e-03,4.551989305238667016e-03
3.203358502320978118e+02,3.203358502320978118e+02,3.243444582154007827e-02,3.243444582154007827e-02,1.587442075187135515e+01,1.587442075187135515e+01,4.645943242778012572e-03,4.645943242778012572e-03
3.362102709839691670e+02,3.362102709839691670e+02,3.708038906431809084e-02,3.708038906431809084e-02,1.619586802380234758e+01,1.619586802380234758e+01,4.743653363320027294e-03,4.743653363320027294e-03
3.524061390077715146e+02,3.524061390077715146e+02,4.182404242763811814e-02,4.182404242763811814e-02,1.653658303261784113e+01,1.653658303261784113e+01,4.847531050309501766e-03,4.847531050309501766e-03
3.689427220403893557e+02,3.689427220403893557e+02,4.667157347794761990e-02,4.667157347794761990e-02,1.766814967365536404e+01,1.766814967365536404e+01,6.011593510114467132e-03,6.011593510114467132e-03
3.866108717140447197e+02,3.866108717140447197e+02,5.268316698806208703e-02,5.268316698806208703e-02,1.853439732523321481e+01,1.853439732523321481e+01,6.624612983399329191e-03,6.624612983399329191e-03
4.051452690392779346e+02,4.051452690392779346e+02,5.930777997146141622e-02,5.930777997146141622e-02,1.910901569918070209e+01,1.910901569918070209e+01,6.841123596405068730e-03,6.841123596405068730e-03
4.242542847384586366e+02,4.242542847384586366e+02,6.614890356786648495e-02,6.614890356786648495e-02,2.139675909466751591e+01,2.139675909466751591e+01,9.080079372297170104e-03,9.080079372297170104e-03
4.456510438331261525e+02,4.456510438331261525e+02,7.522898294016365506e-02,7.522898294016365506e-02,2.535275961886486584e+01,2.535275961886486584e+01,1.281736877857272972e-02,1.281736877857272972e-02
4.710038034519910184e+02,4.710038034519910184e+02,8.804635171873638477e-02,8.804635171873638477e-02,6.842643629555027474e+00,6.842643629555027474e+00,3.469440643832394366e-03,3.469440643832394366e-03
4.778464470815460459e+02,4.778464470815460459e+02,9.151579236256877914e-02,9.151579236256877914e-02,1.611466629742608347e-01,1.611466629742608347e-01,8.175332456072936793e-05,8.175332456072936793e-05
4.780075937445203067e+02,4.780075937445203067e+02,9.159754568712950851e-02,9.159754568712950851e-02,5.902420795132456988e-02,5.902420795132456988e-02,2.995623453101725620e-05,2.995623453101725620e-05
4.780666179524716313e+02,4.780666179524716313e+02,9.162750192166052576e-02,9.162750192166052576e-02,4.754366463208725690e-02,4.754366463208725690e-02,1.631578616656526037e-07,1.631578616656526037e-07
4.781141616171037185e+02,4.781141616171037185e+02,9.162766507952219142e-02,9.162766507952219142e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
