Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
1.980201691833387301e+01,9.901008004147733743e+00,8.109397074840339181e-05,2.074496897771106724e-05,1.980422592452050878e+00,9.902117083185615343e-01,8.110308281893518069e-06,2.074730500506704331e-06
2.178243951078592389e+01,1.089121971246629528e+01,8.920427903029690987e-05,2.281969947821777157e-05,1.980464252159347183e+00,9.902320303189373618e-01,8.110469492980613830e-06,2.074769850667898741e-06
2.376290376294527107e+01,1.188145174278523264e+01,9.731474852327752370e-05,2.489446932888567031e-05,1.980504005656317901e+00,9.902523526307618340e-01,8.110636519897420314e-06,2.074816476336627908e-06
2.574340776860158897e+01,1.287170409541599447e+01,1.054253850431749440e-04,2.696928580522229822e-05,1.980543760330981229e+00,9.902726750811474687e-01,8.110803542216667487e-06,2.074855825959905575e-06
2.772395152893257020e+01,1.386197677049714194e+01,1.135361885853916115e-04,2.904414163118220380e-05,1.980585423763994157e+00,9.902920440885747411e-01,8.110970560160372846e-06,2.074898085577392680e-06
2.970453695269656436e+01,1.485226881458571668e+01,1.216471591455519844e-04,3.111903971675959648e-05,1.980625180456137002e+00,9.903123670224864838e-01,8.111125932996375641e-06,2.074940345144931947e-06
3.168516213315270136e+01,1.584258118160820317e+01,1.297582850785483600e-04,3.319398006190452842e-05,1.980664938648594386e+00,9.903336438908034722e-01,8.111292941711704474e-06,2.074982603996413278e-06
3.366582707180129574e+01,1.683291482549900664e+01,1.378695780202600645e-04,3.526896266590094170e-05,1.980706606060564923e+00,9.903520598617348014e-01,8.111471585928799492e-06,2.075024863019964269e-06
3.564653367786186067e+01,1.782326688536074144e+01,1.459810496061888640e-04,3.734398752892090597e-05,1.980746366247288393e+00,9.903733371829765986e-01,8.111626945255277299e-06,2.075067121549484988e-06
3.762728004410914906e+01,1.881364022254371804e+01,1.540926765514441413e-04,3.941905465047039096e-05,1.980786128003366287e+00,9.903927073664817726e-01,8.111793940177860433e-06,2.075112290246914498e-06
3.960806617211251535e+01,1.980403292991019981e+01,1.622044704916220017e-04,4.149416694071730546e-05,1.980825890452955207e+00,9.904139850898694419e-01,8.111949291130882232e-06,2.075151637786477562e-06
4.158889206256547055e+01,2.079444691500006925e+01,1.703164197827528839e-04,4.356931857850378302e-05,1.980869470402858212e+00,9.904333556647237913e-01,8.112127916324728561e-06,2.075193895722011344e-06
4.356976153296832877e+01,2.178488027066479304e+01,1.784285476990776125e-04,4.564451247422579436e-05,1.980905420344399204e+00,9.904546338997661792e-01,8.112294897676515732e-06,2.075236152941463473e-06
4.555066695331272797e+01,2.277533490456455922e+01,1.865408425967541282e-04,4.771974862716725783e-05,1.980949001696984624e+00,9.904740049927731604e-01,8.112450234675963991e-06,2.075281320748715566e-06
4.753161595500971259e+01,2.376580890955733238e+01,1.946532928314300922e-04,4.979502994791597340e-05,1.980988769932274352e+00,9.904933760988541280e-01,8.112628846237702725e-06,2.075317757036689438e-06
4.951260472494198694e+01,2.475630228565618651e+01,2.027659216776677949e-04,5.187034770495266284e-05,1.981028537616410290e+00,9.905146551593908555e-01,8.112772535330878667e-06,2.075365834037464277e-06
5.149363326255839723e+01,2.574681694081557737e+01,2.108786942129986736e-04,5.394571353899012712e-05,1.981068308828625391e+00,9.905359341584407673e-01,8.112962776280879243e-06,2.075402270249604984e-06
5.347470157138702263e+01,2.673735287497401814e+01,2.189916569892795528e-04,5.602111580923973210e-05,1.981111894338837942e+00,9.905533987764876258e-01,8.113106456778500361e-06,2.075450346682149465e-06
5.545581346572586057e+01,2.772790627375050576e+01,2.271047634460580532e-04,5.809656615592188156e-05,1.981147851128483239e+00,9.905746783801632205e-01,8.113273410700297828e-06,2.075492602479379065e-06
5.743696131685434381e+01,2.871848095213066898e+01,2.352180368567583510e-04,6.017205875840126063e-05,1.981191440253518010e+00,9.905959580433751910e-01,8.113440359802464273e-06,2.075529037689608544e-06
5.941815275710786182e+01,2.970907691017404417e+01,2.433314772165608153e-04,6.224758779609086917e-05,1.981231216421058150e+00,9.906153308077421116e-01,8.113630582050465265e-06,2.075577113269780382e-06
6.139938397352891997e+01,3.069969224098178628e+01,2.514451077986112806e-04,6.432316490936064955e-05,1.981270990954143940e+00,9.906366111008289010e-01,8.113774244691059762e-06,2.075619368472887520e-06
