Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
2.664630805387805594e+02,5.055112664877660791e+02,1.055469512939453125e+00,8.959741725909787374e-03,8.959741725909787374e-03,3.000001423060894012e-03,-4.969597324943379135e+00,1.371784444810202785e+00,-5.903916168212890447e+00,9.910257932822449933e-05,9.910257932822449933e-05,3.333333879709235101e-05
2.614934832138371803e+02,5.068830509325762819e+02,-4.848446655273437322e+00,9.058844305238011874e-03,9.058844305238011874e-03,3.033334761857986363e-03,-4.844560513977285154e+00,1.415065892836139483e+00,-5.805362486839293901e+00,9.909349724595770126e-05,9.909349724595770126e-05,3.333352506160744758e-05
2.566489226998598951e+02,5.082981168254124213e+02,-1.065380914211273122e+01,9.157937802483969575e-03,9.157937802483969575e-03,3.066668286919593811e-03,-6.060702232507424014e+00,7.213933395219100930e-01,-6.738741898536684261e+00,9.908367869792579496e-05,9.908367869792579496e-05,3.333333879709235101e-05
2.505882204673524711e+02,5.090195101649343314e+02,-1.739255104064941548e+01,9.257021481181895370e-03,9.257021481181895370e-03,3.100001625716686162e-03,-2.896320609810004498e+00,2.437604505962838175e+00,-4.108325576782227984e+00,9.907312397528997283e-05,9.907312397528997283e-05,3.333333879709235101e-05
2.476918998575424666e+02,5.114571146708971696e+02,-2.150087661743164347e+01,9.356094605157185343e-03,9.356094605157185343e-03,3.133334964513778513e-03,-2.294255318649760511e+00,2.780115004706033233e+00,-3.584006500244136362e+00,9.906404751053483893e-05,9.906404751053483893e-05,3.333315253257768812e-05
2.453976445388927061e+02,5.142372296756032028e+02,-2.508488311767577983e+01,9.455158652667720182e-03,9.455158652667720182e-03,3.166668117046356201e-03,-2.083231120344549936e+00,2.875305757762703252e+00,-3.440922546386719461e+00,9.905423479688452160e-05,9.905423479688452160e-05,3.333352506160744758e-05
2.433144134185481562e+02,5.171125354333659061e+02,-2.852580566406249929e+01,9.554212887464604703e-03,9.554212887464604703e-03,3.200001642107963649e-03,-1.784017188000234455e+00,3.009867438622109148e+00,-3.148226165771486507e+00,9.904442402746370389e-05,9.904442402746370389e-05,3.333315253257725444e-05
2.415303962305479217e+02,5.201224028719880152e+02,-3.167403182983398580e+01,9.653257311492068407e-03,9.653257311492068407e-03,3.233334794640540903e-03,-1.581601955512468294e+00,3.093732014744318803e+00,-2.979951477050782671e+00,9.903387737350728692e-05,9.903387737350728692e-05,3.333352506160744758e-05
2.399487942750354534e+02,5.232161348867323341e+02,-3.465398330688476847e+01,9.752291188865575694e-03,9.752291188865575694e-03,3.266668319702148351e-03,-1.327866797476218608e+00,3.179791808939171460e+00,-2.811728668212886362e+00,9.902480839029878523e-05,9.902480839029878523e-05,3.333315253257768812e-05
2.386209274775592348e+02,5.263959266956715055e+02,-3.746571197509765483e+01,9.851315997255874479e-03,9.851315997255874479e-03,3.300001472234726039e-03,-1.564409376178531375e+00,3.072704241819451454e+00,-2.914802551269531250e+00,9.901500344854617663e-05,9.901500344854617663e-05,3.333352506160744758e-05
